age,capital-gain,capital-loss,hours-per-week,class
20,0,0,60, <=50K
22,0,0,20, <=50K
28,0,0,40, <=50K
21,0,0,40, <=50K
69,6514,0,45, >50K
20,0,0,40, <=50K
30,0,0,24, <=50K
48,0,0,45, <=50K
31,0,0,40, >50K
23,0,0,36, <=50K
23,0,0,40, <=50K
58,0,0,48, <=50K
25,0,0,45, <=50K
66,0,0,4, <=50K
21,0,0,40, <=50K
25,0,0,40, <=50K
24,0,0,40, <=50K
43,0,0,40, >50K
58,0,0,24, >50K
70,0,0,8, <=50K
31,0,0,40, <=50K
49,4064,0,44, <=50K
28,0,0,40, <=50K
60,0,0,40, <=50K
41,0,0,40, <=50K
32,0,1977,44, >50K
21,0,1762,28, <=50K
69,0,0,15, >50K
28,0,0,45, <=50K
40,0,0,45, <=50K
57,0,0,48, <=50K
51,0,0,40, <=50K
27,0,0,40, <=50K
21,0,0,30, <=50K
25,0,2001,40, <=50K
42,0,0,20, >50K
45,0,0,60, <=50K
49,5013,0,50, <=50K
47,0,0,40, >50K
31,0,0,50, >50K
32,0,0,30, <=50K
38,0,0,40, <=50K
30,0,0,40, <=50K
17,0,0,40, <=50K
27,0,1485,50, >50K
43,0,0,30, <=50K
17,0,0,25, <=50K
53,0,0,40, <=50K
44,0,0,40, <=50K
38,0,0,40, >50K
47,0,0,50, <=50K
33,0,0,99, <=50K
47,15024,0,50, >50K
23,0,0,40, <=50K
47,0,0,15, <=50K
21,0,0,40, <=50K
54,0,0,50, <=50K
48,0,0,40, <=50K
48,0,0,30, <=50K
39,7298,0,40, >50K
37,0,0,40, <=50K
59,0,0,35, >50K
50,0,0,84, <=50K
17,0,0,20, <=50K
31,0,0,40, <=50K
44,0,0,38, <=50K
17,0,0,15, <=50K
26,0,0,58, >50K
43,0,0,60, <=50K
24,0,0,35, <=50K
37,15024,0,45, >50K
55,0,0,45, <=50K
22,0,0,40, <=50K
22,0,0,43, <=50K
22,0,0,35, <=50K
28,0,0,21, <=50K
58,0,0,40, >50K
63,0,0,40, <=50K
33,0,0,40, <=50K
37,0,0,50, >50K
59,0,0,40, >50K
40,914,0,40, <=50K
36,0,0,50, >50K
59,0,0,4, <=50K
30,0,0,38, <=50K
36,0,0,40, <=50K
54,0,0,40, >50K
55,0,0,40, <=50K
44,0,0,40, <=50K
41,99999,0,40, >50K
29,0,0,50, >50K
31,0,2179,35, <=50K
43,0,0,45, >50K
45,0,1485,70, >50K
68,0,0,24, <=50K
29,0,0,40, <=50K
59,5178,0,50, >50K
40,0,0,40, >50K
51,0,0,60, <=50K
22,0,0,40, <=50K
57,0,0,20, <=50K
37,0,2339,40, <=50K
41,0,0,40, <=50K
35,0,0,40, <=50K
47,0,0,38, <=50K
33,0,0,20, <=50K
22,0,0,40, <=50K
62,0,0,35, <=50K
49,0,0,40, <=50K
43,0,0,50, >50K
46,0,0,8, <=50K
64,0,0,20, <=50K
44,0,0,80, >50K
58,0,0,40, <=50K
37,0,0,40, <=50K
64,0,0,40, <=50K
28,0,0,17, <=50K
24,0,0,40, <=50K
56,0,0,40, <=50K
62,0,0,40, <=50K
48,0,0,50, <=50K
20,0,0,15, <=50K
48,0,0,89, <=50K
22,0,0,40, <=50K
28,0,0,40, <=50K
32,0,0,60, <=50K
35,0,0,40, <=50K
35,0,0,40, <=50K
19,0,0,30, <=50K
26,0,0,40, <=50K
34,0,0,35, <=50K
58,0,0,60, >50K
44,0,1902,50, >50K
34,0,0,40, <=50K
37,0,0,40, >50K
62,0,0,40, <=50K
40,4650,0,48, <=50K
47,0,0,40, <=50K
23,0,0,40, <=50K
28,0,0,45, <=50K
28,4064,0,25, <=50K
25,0,0,40, <=50K
26,0,0,40, <=50K
41,0,0,91, <=50K
63,0,0,35, <=50K
47,0,0,35, <=50K
43,0,0,45, >50K
39,0,0,40, <=50K
20,0,0,40, <=50K
32,0,0,40, <=50K
36,13550,0,40, >50K
61,0,0,8, <=50K
36,0,0,50, <=50K
35,0,0,52, >50K
58,0,0,40, <=50K
45,15024,0,60, >50K
65,2964,0,35, <=50K
63,0,0,30, <=50K
37,0,0,38, <=50K
51,0,0,70, <=50K
18,0,0,40, <=50K
38,0,0,40, <=50K
60,0,0,20, <=50K
37,0,0,40, <=50K
35,0,0,36, <=50K
37,0,0,38, <=50K
41,0,0,15, <=50K
44,0,0,40, <=50K
41,914,0,40, <=50K
28,0,0,40, <=50K
32,0,1902,50, >50K
24,0,0,40, <=50K
27,0,0,40, <=50K
36,0,0,40, <=50K
40,0,0,30, <=50K
29,0,0,45, <=50K
25,0,0,25, <=50K
54,7298,0,50, >50K
29,0,0,40, <=50K
47,0,0,40, <=50K
44,0,0,68, <=50K
55,0,0,40, >50K
45,0,0,40, <=50K
46,0,0,47, <=50K
43,0,0,40, >50K
63,4386,0,37, >50K
19,0,0,40, <=50K
45,0,0,40, <=50K
21,0,0,40, <=50K
25,2463,0,30, <=50K
43,0,0,60, >50K
26,0,0,28, <=50K
19,0,0,40, <=50K
65,2290,0,27, <=50K
47,0,0,40, >50K
19,0,0,40, <=50K
80,0,0,24, <=50K
33,0,0,40, >50K
19,0,0,40, <=50K
42,0,0,60, <=50K
39,0,0,40, >50K
62,0,0,84, <=50K
57,0,0,40, <=50K
28,0,0,45, <=50K
43,0,0,50, <=50K
25,0,0,40, <=50K
48,0,0,60, <=50K
19,0,0,20, <=50K
39,0,0,50, >50K
22,0,0,55, <=50K
47,0,1740,40, <=50K
35,0,0,35, <=50K
39,0,1762,40, <=50K
30,0,0,40, <=50K
28,15024,0,40, >50K
28,0,0,30, <=50K
35,0,0,40, >50K
22,0,0,40, <=50K
31,0,0,35, <=50K
59,0,1485,40, >50K
58,0,0,20, <=50K
30,0,0,62, <=50K
47,0,0,40, >50K
30,0,0,10, <=50K
47,0,0,40, <=50K
43,0,0,40, >50K
34,0,0,40, <=50K
21,0,0,42, <=50K
37,0,0,20, >50K
19,0,0,50, <=50K
32,0,0,50, <=50K
17,0,0,25, <=50K
34,0,0,50, <=50K
26,0,0,15, <=50K
52,0,0,60, >50K
57,0,0,40, <=50K
28,0,0,40, <=50K
48,0,0,40, <=50K
61,0,0,50, >50K
48,0,0,10, <=50K
29,0,0,40, <=50K
43,0,0,40, <=50K
26,0,0,40, <=50K
28,0,0,50, <=50K
25,4416,0,40, <=50K
23,0,0,40, <=50K
25,0,0,30, <=50K
48,0,0,48, >50K
29,0,0,97, <=50K
31,0,0,60, >50K
18,0,0,40, <=50K
22,0,0,30, <=50K
47,0,0,50, <=50K
63,0,0,40, <=50K
80,0,0,4, <=50K
32,0,0,40, <=50K
37,0,0,50, <=50K
47,0,0,45, >50K
26,0,0,25, <=50K
35,0,2205,40, <=50K
67,0,0,40, <=50K
68,0,0,25, <=50K
65,20051,0,40, >50K
59,0,0,40, <=50K
59,0,0,40, >50K
38,4386,0,48, <=50K
43,0,0,40, <=50K
25,0,0,40, <=50K
42,0,0,55, <=50K
62,0,0,5, <=50K
17,0,0,10, <=50K
39,0,0,40, >50K
49,0,0,44, <=50K
43,0,0,48, <=50K
61,0,0,14, <=50K
73,0,0,25, <=50K
55,0,0,45, <=50K
40,0,0,30, <=50K
34,4650,0,50, <=50K
42,8614,0,40, >50K
34,0,0,40, >50K
30,0,0,40, <=50K
35,7298,0,40, >50K
30,0,1977,40, >50K
45,0,0,35, <=50K
38,0,0,45, <=50K
30,0,0,8, <=50K
23,0,0,40, <=50K
36,3325,0,45, <=50K
35,0,1977,50, >50K
25,0,0,40, <=50K
19,0,0,47, <=50K
45,0,2051,40, <=50K
20,0,0,40, <=50K
42,0,0,52, <=50K
28,0,0,38, <=50K
50,0,2415,60, >50K
36,0,0,40, <=50K
54,0,0,60, >50K
39,14084,0,35, >50K
27,0,0,40, <=50K
18,0,0,40, <=50K
52,0,0,40, <=50K
25,0,0,40, <=50K
47,0,1977,60, >50K
33,0,0,48, <=50K
39,0,0,40, >50K
39,0,0,45, <=50K
46,0,0,40, <=50K
18,0,0,20, <=50K
26,594,0,35, <=50K
28,0,0,50, <=50K
28,0,0,45, <=50K
22,0,0,34, <=50K
47,7688,0,45, >50K
39,0,0,42, <=50K
37,0,0,40, <=50K
58,0,0,37, <=50K
29,0,0,60, <=50K
53,0,0,40, <=50K
27,0,0,40, <=50K
51,0,0,55, >50K
24,0,0,30, <=50K
30,0,0,50, >50K
48,0,0,25, <=50K
36,15024,0,40, >50K
54,0,0,40, >50K
65,6767,0,60, <=50K
70,0,0,5, <=50K
42,0,0,48, <=50K
44,0,0,60, <=50K
41,0,0,40, <=50K
43,0,0,45, >50K
18,0,0,15, <=50K
77,0,0,20, <=50K
48,0,0,55, >50K
36,0,0,32, <=50K
45,0,0,7, <=50K
20,0,0,40, <=50K
63,0,0,70, >50K
42,0,2002,40, <=50K
33,0,0,40, >50K
42,0,0,60, >50K
32,0,0,40, >50K
37,7688,0,99, >50K
19,0,0,20, <=50K
54,14084,0,40, >50K
50,0,0,40, <=50K
34,0,0,40, <=50K
41,0,0,40, >50K
34,7688,0,35, >50K
23,0,0,40, <=50K
54,0,0,50, <=50K
19,0,0,40, <=50K
33,0,0,40, <=50K
34,0,0,38, <=50K
30,0,0,40, <=50K
32,0,0,60, <=50K
63,0,0,16, <=50K
18,0,0,48, <=50K
73,0,0,11, <=50K
36,0,0,40, <=50K
42,0,0,50, >50K
33,0,0,40, <=50K
67,0,0,40, <=50K
37,0,0,35, <=50K
41,0,0,50, <=50K
69,991,0,18, <=50K
23,0,0,40, <=50K
54,0,0,40, <=50K
23,0,0,30, <=50K
57,0,0,40, >50K
35,4386,0,35, >50K
36,5013,0,30, <=50K
46,0,0,12, >50K
27,0,0,50, <=50K
60,0,0,46, >50K
60,0,0,30, <=50K
36,0,0,45, <=50K
54,0,0,40, <=50K
50,0,0,50, <=50K
32,0,0,40, <=50K
30,0,0,60, <=50K
31,0,0,20, <=50K
72,0,0,12, <=50K
32,0,0,60, <=50K
63,0,0,30, >50K
26,0,0,40, <=50K
42,0,0,60, >50K
36,0,0,40, <=50K
43,0,0,40, <=50K
41,0,0,38, <=50K
42,0,0,65, <=50K
48,0,0,40, >50K
21,0,0,40, <=50K
39,2829,0,40, <=50K
57,0,0,40, <=50K
32,0,0,40, <=50K
61,0,0,40, >50K
23,0,0,20, <=50K
25,0,0,40, <=50K
30,0,0,35, <=50K
21,0,0,40, <=50K
28,0,0,40, <=50K
47,0,0,40, <=50K
46,0,0,48, <=50K
76,0,0,2, <=50K
53,0,0,40, <=50K
19,0,0,20, <=50K
22,0,0,40, <=50K
71,0,0,3, <=50K
39,0,0,12, <=50K
20,0,0,40, <=50K
22,0,0,20, <=50K
28,0,0,40, <=50K
44,0,0,38, <=50K
25,0,0,90, <=50K
31,0,0,40, <=50K
57,0,0,60, <=50K
53,0,0,40, <=50K
30,0,0,40, >50K
46,0,0,40, <=50K
25,0,0,26, <=50K
48,0,0,13, <=50K
46,0,0,40, <=50K
55,0,1977,40, >50K
38,0,0,40, <=50K
20,0,0,40, <=50K
27,0,0,40, <=50K
60,7298,0,40, >50K
21,0,0,20, <=50K
44,0,0,70, <=50K
37,0,0,40, >50K
39,0,0,50, >50K
29,0,0,40, <=50K
49,0,0,35, <=50K
57,0,0,40, <=50K
25,0,0,43, <=50K
67,0,0,49, <=50K
42,4386,0,40, >50K
82,0,0,5, <=50K
48,0,0,40, >50K
23,0,0,40, <=50K
40,0,0,40, <=50K
49,0,0,40, <=50K
33,0,0,40, <=50K
31,0,0,48, <=50K
48,99999,0,60, >50K
43,0,0,25, <=50K
38,0,0,65, <=50K
32,0,0,40, <=50K
30,0,0,40, <=50K
26,0,0,40, <=50K
53,2407,0,99, <=50K
39,0,0,60, <=50K
27,0,0,40, <=50K
31,4386,0,40, >50K
51,0,0,40, <=50K
33,0,0,40, >50K
36,0,0,40, <=50K
22,0,0,20, <=50K
22,0,0,40, <=50K
33,0,0,50, <=50K
40,0,0,50, >50K
38,0,0,55, <=50K
58,0,0,40, <=50K
36,0,0,35, <=50K
21,0,0,35, <=50K
29,0,0,40, <=50K
43,0,0,40, <=50K
41,0,0,40, <=50K
28,0,0,40, <=50K
26,0,0,40, <=50K
33,0,0,55, <=50K
22,0,0,40, <=50K
40,0,0,50, >50K
38,0,0,40, >50K
25,0,0,45, <=50K
42,0,0,35, <=50K
45,7298,0,50, >50K
36,0,0,30, <=50K
35,2354,0,40, <=50K
46,0,0,15, <=50K
50,0,0,40, >50K
46,0,0,40, <=50K
20,0,0,12, <=50K
31,0,0,40, <=50K
38,0,0,60, <=50K
27,0,0,80, >50K
51,0,0,60, <=50K
52,7298,0,40, >50K
44,0,0,40, <=50K
35,0,0,70, <=50K
17,0,0,10, <=50K
41,7688,0,50, >50K
34,0,0,40, <=50K
57,0,1740,40, <=50K
32,0,0,50, >50K
38,0,0,50, >50K
48,0,0,34, <=50K
41,0,0,40, <=50K
38,4386,0,35, <=50K
33,0,0,50, >50K
35,0,0,50, <=50K
35,0,0,40, <=50K
18,0,0,20, <=50K
20,0,0,30, <=50K
49,5178,0,40, >50K
30,0,0,38, <=50K
40,0,0,40, <=50K
27,0,0,99, <=50K
40,0,0,40, <=50K
29,0,0,40, <=50K
26,0,0,45, >50K
25,0,0,15, <=50K
41,0,0,40, <=50K
22,0,0,40, <=50K
71,0,0,40, <=50K
56,0,0,40, <=50K
76,0,0,20, <=50K
23,0,1590,40, <=50K
18,0,0,15, <=50K
27,0,0,40, <=50K
51,0,0,40, <=50K
33,0,0,30, <=50K
46,0,0,45, >50K
32,0,0,40, <=50K
42,7298,0,52, >50K
32,4865,0,40, <=50K
61,0,1902,40, >50K
26,7298,0,55, >50K
23,0,0,30, <=50K
55,0,0,6, >50K
46,0,0,40, <=50K
42,0,0,38, <=50K
31,0,0,38, <=50K
53,0,0,40, <=50K
47,0,0,49, >50K
77,0,0,40, <=50K
31,0,0,40, >50K
37,3137,0,77, <=50K
32,0,1564,50, >50K
64,0,0,8, <=50K
28,0,0,40, <=50K
22,0,0,40, <=50K
54,0,0,45, >50K
46,0,0,40, <=50K
33,0,0,48, >50K
49,0,0,28, <=50K
19,0,0,25, <=50K
25,0,0,40, <=50K
90,0,0,40, <=50K
20,0,0,16, <=50K
80,1086,0,20, <=50K
39,0,625,35, <=50K
19,0,0,15, <=50K
21,0,0,20, <=50K
46,0,0,44, <=50K
35,3908,0,27, <=50K
73,0,0,32, <=50K
27,0,0,33, <=50K
21,0,0,30, <=50K
51,0,2444,39, >50K
20,0,0,40, <=50K
71,0,0,20, <=50K
31,0,0,55, >50K
37,0,1848,40, >50K
23,0,0,40, <=50K
42,0,0,40, <=50K
24,0,0,32, <=50K
67,0,0,20, <=50K
48,0,0,37, <=50K
29,0,0,25, <=50K
50,0,0,55, <=50K
27,0,0,40, <=50K
44,0,0,50, <=50K
18,0,0,15, <=50K
28,0,0,45, <=50K
33,0,0,40, >50K
38,0,0,40, <=50K
42,0,0,40, <=50K
25,0,0,40, <=50K
28,0,0,10, <=50K
24,0,0,50, <=50K
30,0,0,40, <=50K
34,0,0,40, <=50K
54,0,0,50, <=50K
17,0,0,30, <=50K
24,0,0,32, <=50K
37,0,0,40, <=50K
51,0,0,55, <=50K
21,0,0,12, <=50K
34,0,0,48, >50K
24,0,1876,65, <=50K
49,0,0,40, <=50K
29,0,0,40, <=50K
31,2829,0,40, <=50K
40,0,0,40, <=50K
48,0,0,48, >50K
50,0,0,50, >50K
45,0,0,40, >50K
20,0,0,40, <=50K
50,0,0,55, <=50K
39,0,0,65, <=50K
64,0,0,38, <=50K
54,0,0,40, >50K
45,0,0,50, >50K
47,0,0,60, >50K
26,0,0,16, <=50K
42,0,0,40, >50K
50,0,0,40, <=50K
28,0,0,99, <=50K
62,0,0,60, <=50K
49,0,1848,44, >50K
47,0,0,70, <=50K
58,0,0,32, <=50K
31,0,0,40, <=50K
37,0,0,38, <=50K
62,0,0,30, <=50K
59,0,0,60, <=50K
28,0,0,40, >50K
22,0,0,40, <=50K
41,0,0,50, >50K
24,0,0,35, >50K
70,0,0,6, <=50K
23,0,0,30, <=50K
43,0,0,40, >50K
25,0,0,40, <=50K
40,0,0,24, <=50K
37,0,0,40, <=50K
43,0,1887,80, >50K
40,0,0,40, <=50K
20,0,0,10, <=50K
26,0,0,40, <=50K
44,0,1669,40, <=50K
23,0,0,32, <=50K
27,0,0,40, <=50K
40,4687,0,50, >50K
20,0,0,40, <=50K
50,0,0,60, >50K
64,0,0,30, <=50K
22,0,0,40, <=50K
59,0,0,40, <=50K
29,0,0,49, <=50K
38,0,0,24, >50K
36,0,0,50, >50K
39,0,0,50, <=50K
29,0,0,60, <=50K
46,3103,0,40, >50K
29,0,0,40, <=50K
32,0,0,45, <=50K
39,99999,0,40, >50K
34,0,0,40, <=50K
48,0,0,60, >50K
45,0,0,40, <=50K
63,3471,0,40, <=50K
47,0,0,12, <=50K
67,0,0,12, <=50K
30,0,0,45, <=50K
33,0,0,40, <=50K
57,0,0,40, <=50K
40,0,0,30, >50K
37,0,0,99, >50K
44,0,0,50, <=50K
31,0,0,40, <=50K
40,0,2415,70, >50K
45,0,0,40, >50K
33,0,0,41, >50K
25,0,0,40, <=50K
37,0,0,40, <=50K
52,0,0,40, <=50K
29,0,0,50, <=50K
36,2202,0,40, <=50K
47,0,0,40, <=50K
31,0,0,38, <=50K
62,0,0,40, <=50K
33,7298,0,60, >50K
21,0,0,40, <=50K
54,0,0,40, <=50K
51,0,0,40, >50K
44,0,0,35, <=50K
39,0,0,20, <=50K
18,0,0,25, <=50K
35,5013,0,40, <=50K
25,0,0,40, <=50K
29,0,0,40, <=50K
42,0,0,7, <=50K
37,0,0,40, <=50K
25,0,0,40, <=50K
28,0,0,35, <=50K
47,0,1669,40, <=50K
17,0,0,20, <=50K
42,7688,0,40, >50K
44,0,0,45, >50K
73,0,0,10, <=50K
38,0,0,43, <=50K
48,0,0,45, >50K
25,0,0,48, <=50K
43,0,0,40, >50K
21,0,0,40, <=50K
45,0,0,70, <=50K
44,0,0,40, <=50K
42,3103,0,50, >50K
44,0,0,40, <=50K
34,0,0,50, >50K
72,0,0,40, <=50K
40,0,0,50, <=50K
52,5013,0,40, <=50K
68,20051,0,40, >50K
24,0,0,15, <=50K
34,0,0,45, <=50K
27,0,0,30, <=50K
26,0,0,35, <=50K
45,0,0,38, >50K
25,0,0,25, <=50K
48,0,0,40, <=50K
34,4416,0,30, <=50K
34,0,1485,40, <=50K
20,0,0,20, <=50K
49,0,0,50, >50K
35,0,0,40, <=50K
43,0,0,75, >50K
51,0,0,40, <=50K
35,0,1740,80, <=50K
36,0,0,40, >50K
43,0,0,40, >50K
38,0,0,55, >50K
45,15024,0,40, >50K
30,0,0,40, <=50K
18,0,0,30, <=50K
19,0,0,7, <=50K
55,0,0,40, <=50K
43,15024,0,60, >50K
29,0,0,40, <=50K
48,0,0,55, <=50K
20,0,0,40, <=50K
30,0,1974,40, <=50K
58,0,0,40, <=50K
43,0,0,55, <=50K
51,0,0,32, >50K
48,0,0,40, >50K
43,0,0,40, <=50K
43,0,0,40, <=50K
29,0,0,40, <=50K
41,0,0,40, <=50K
61,0,0,40, <=50K
32,0,0,40, <=50K
23,0,1902,40, <=50K
42,0,0,60, <=50K
46,2036,0,60, <=50K
57,0,0,25, <=50K
37,0,0,55, >50K
60,0,0,60, <=50K
26,0,0,37, <=50K
42,0,0,55, <=50K
35,15024,0,50, >50K
24,0,0,40, <=50K
30,0,0,20, <=50K
38,0,0,50, <=50K
35,0,1485,40, <=50K
34,0,0,40, <=50K
24,0,0,35, <=50K
47,0,0,40, <=50K
19,0,0,38, <=50K
35,0,0,45, <=50K
20,0,0,20, <=50K
44,0,0,38, <=50K
29,0,0,45, <=50K
36,0,0,15, <=50K
45,0,0,50, <=50K
32,0,0,50, <=50K
57,0,0,40, <=50K
24,0,0,40, <=50K
39,0,0,50, <=50K
50,4386,0,48, >50K
37,0,0,40, <=50K
27,0,0,30, <=50K
48,0,0,40, <=50K
26,0,0,40, <=50K
60,0,0,35, >50K
52,0,1902,40, >50K
35,0,0,40, >50K
19,0,0,25, <=50K
27,0,1848,45, >50K
60,10520,0,40, >50K
41,7688,0,50, >50K
27,0,0,40, <=50K
37,0,0,65, <=50K
27,0,0,45, >50K
32,0,0,40, >50K
28,0,0,52, <=50K
49,0,0,40, <=50K
71,0,0,40, <=50K
21,0,0,35, <=50K
21,0,0,30, <=50K
50,0,0,40, <=50K
32,0,0,40, <=50K
35,0,0,6, <=50K
21,0,0,40, <=50K
30,0,0,55, <=50K
51,15024,0,60, >50K
31,0,0,40, <=50K
22,0,0,39, <=50K
59,0,0,40, <=50K
37,0,0,37, >50K
55,0,0,40, >50K
25,0,0,40, <=50K
33,0,0,40, >50K
59,0,0,20, >50K
28,0,0,40, <=50K
52,0,0,45, <=50K
18,0,0,30, <=50K
37,0,0,25, <=50K
35,5178,0,50, >50K
41,0,0,40, <=50K
50,3103,0,40, >50K
23,0,0,28, <=50K
35,0,0,50, <=50K
48,7298,0,40, >50K
30,0,0,70, <=50K
62,0,0,15, <=50K
35,0,0,40, <=50K
22,0,0,20, <=50K
33,0,1977,50, >50K
61,0,0,50, >50K
24,0,0,40, >50K
54,0,0,40, <=50K
21,0,0,15, <=50K
23,0,0,40, <=50K
53,0,0,66, <=50K
39,0,0,40, <=50K
20,0,0,30, <=50K
29,0,0,40, <=50K
32,0,0,40, <=50K
31,0,0,35, <=50K
51,0,0,70, >50K
34,0,0,40, >50K
53,0,0,40, <=50K
22,0,0,40, <=50K
51,0,0,40, <=50K
21,0,0,48, <=50K
53,0,0,50, >50K
43,0,0,40, <=50K
68,0,0,30, <=50K
34,0,0,40, <=50K
22,0,0,40, <=50K
33,0,0,15, <=50K
22,0,0,20, <=50K
25,0,0,40, <=50K
21,0,0,40, <=50K
57,0,0,72, <=50K
27,0,0,28, <=50K
58,0,0,15, <=50K
48,7298,0,60, >50K
50,0,1408,50, <=50K
39,0,0,50, >50K
49,0,0,40, >50K
31,0,0,50, <=50K
51,0,0,40, >50K
65,0,0,40, <=50K
46,0,0,55, <=50K
38,0,0,20, <=50K
66,0,0,20, <=50K
47,0,0,40, <=50K
27,0,0,60, >50K
49,0,0,48, <=50K
25,114,0,40, <=50K
19,0,0,10, <=50K
40,0,0,55, <=50K
31,0,0,55, <=50K
41,0,0,60, >50K
35,0,0,40, <=50K
53,0,0,40, <=50K
27,0,0,25, <=50K
30,0,0,40, <=50K
31,0,0,40, >50K
32,0,0,40, <=50K
43,594,0,16, <=50K
61,7688,0,40, >50K
49,1506,0,35, <=50K
69,0,0,40, <=50K
48,0,0,49, <=50K
40,0,0,23, <=50K
33,0,1672,40, <=50K
33,0,0,40, <=50K
36,0,0,60, <=50K
58,0,1741,40, <=50K
54,0,0,40, <=50K
51,0,0,40, >50K
27,0,0,48, <=50K
18,0,0,30, <=50K
46,0,0,45, >50K
23,0,0,40, <=50K
35,0,0,20, <=50K
62,7298,0,50, >50K
61,0,0,40, <=50K
42,0,0,40, <=50K
43,0,0,32, >50K
29,0,0,36, <=50K
48,0,0,40, <=50K
55,0,0,40, <=50K
27,0,0,40, <=50K
33,0,0,60, >50K
33,0,0,40, <=50K
47,0,0,40, <=50K
57,0,0,55, <=50K
57,0,0,60, >50K
70,0,0,8, <=50K
50,15024,0,40, >50K
40,1506,0,40, <=50K
21,0,0,32, <=50K
35,0,0,40, <=50K
46,0,0,45, >50K
31,4650,0,40, <=50K
29,7298,0,32, >50K
23,0,0,21, <=50K
27,0,0,40, <=50K
38,0,0,60, <=50K
49,0,0,25, <=50K
55,0,0,40, >50K
69,0,0,40, <=50K
68,20051,0,50, >50K
54,0,0,50, <=50K
75,0,0,40, <=50K
33,0,0,46, <=50K
42,0,0,45, >50K
50,0,0,20, <=50K
25,0,0,40, <=50K
37,0,0,40, <=50K
19,0,0,20, <=50K
47,0,0,45, <=50K
64,0,0,21, <=50K
40,0,0,40, <=50K
43,0,0,50, <=50K
19,0,0,20, <=50K
24,0,0,40, <=50K
50,0,0,40, <=50K
20,0,0,35, <=50K
41,0,0,40, >50K
44,0,0,60, <=50K
35,0,0,40, <=50K
25,0,0,40, <=50K
32,0,0,10, <=50K
26,0,0,40, <=50K
27,0,0,40, <=50K
20,0,0,25, <=50K
38,0,0,42, <=50K
48,0,0,40, <=50K
57,0,0,40, <=50K
42,0,0,25, >50K
53,0,0,40, <=50K
27,0,0,35, <=50K
20,0,0,40, <=50K
27,0,0,50, <=50K
21,0,0,15, <=50K
24,0,0,50, <=50K
20,0,0,35, <=50K
17,594,0,12, <=50K
37,0,0,52, <=50K
28,0,0,80, <=50K
56,0,0,45, <=50K
29,0,0,52, <=50K
52,0,0,20, <=50K
31,0,0,45, <=50K
52,0,0,43, <=50K
55,0,0,40, <=50K
28,0,0,50, >50K
34,0,0,40, <=50K
28,0,0,60, <=50K
27,0,0,50, <=50K
29,0,0,40, <=50K
36,0,0,40, >50K
45,0,0,35, <=50K
24,0,0,40, <=50K
41,0,0,40, <=50K
26,0,0,50, <=50K
30,0,0,40, >50K
39,15024,0,55, >50K
42,0,0,40, <=50K
19,0,0,20, <=50K
46,0,1902,40, >50K
48,0,0,45, >50K
51,0,0,40, <=50K
59,0,0,60, <=50K
27,0,0,55, <=50K
48,0,0,40, <=50K
25,0,0,50, <=50K
19,0,0,20, <=50K
34,0,1887,40, >50K
28,0,0,40, <=50K
36,0,0,40, >50K
34,7443,0,40, <=50K
63,0,0,19, <=50K
34,0,0,40, >50K
48,0,0,60, >50K
37,0,0,40, <=50K
40,0,0,50, <=50K
20,0,0,11, <=50K
