age,education-num,capital-gain,capital-loss,hours-per-week,class
23,13,0,0,40, <=50K
24,10,0,1876,40, <=50K
44,9,99999,0,50, >50K
31,10,0,0,50, <=50K
43,9,0,0,44, <=50K
20,7,0,0,10, <=50K
55,9,0,0,56, >50K
24,10,0,0,40, <=50K
41,14,7688,0,10, >50K
59,13,0,0,25, <=50K
49,4,0,0,20, <=50K
33,14,5178,0,10, >50K
59,13,0,0,40, <=50K
34,14,0,0,40, <=50K
20,9,0,0,40, <=50K
25,13,0,0,40, <=50K
49,6,0,0,40, <=50K
59,9,0,0,40, >50K
20,9,0,0,40, <=50K
51,10,0,0,18, <=50K
33,10,0,0,35, <=50K
22,10,0,0,39, <=50K
58,5,0,0,40, <=50K
52,9,0,0,28, <=50K
36,6,0,0,40, <=50K
41,9,0,0,40, <=50K
28,9,2597,0,40, <=50K
19,10,0,0,16, <=50K
18,9,0,0,28, <=50K
18,9,0,0,48, <=50K
28,10,0,0,40, <=50K
29,11,0,0,40, >50K
20,9,0,0,20, <=50K
40,10,0,0,40, <=50K
26,9,0,0,40, <=50K
46,9,0,0,40, <=50K
23,7,0,0,24, <=50K
44,9,0,0,40, <=50K
43,13,0,0,40, >50K
31,13,0,0,60, <=50K
18,10,0,0,25, <=50K
19,10,0,0,30, <=50K
41,10,0,0,40, <=50K
41,9,0,0,40, <=50K
69,9,0,0,25, <=50K
48,16,0,0,40, >50K
28,9,0,0,40, <=50K
27,9,0,0,60, >50K
41,14,0,2415,50, >50K
41,10,0,0,40, <=50K
24,9,0,0,40, <=50K
20,9,0,0,40, <=50K
42,16,0,0,41, >50K
57,9,0,0,48, <=50K
30,12,0,0,40, <=50K
36,9,0,0,60, >50K
49,4,0,0,40, <=50K
33,9,0,0,35, <=50K
23,6,0,0,40, <=50K
46,14,0,0,40, <=50K
18,10,0,0,22, <=50K
40,9,7688,0,55, >50K
43,9,0,1887,45, >50K
34,14,0,0,30, <=50K
47,9,0,0,30, <=50K
44,11,0,0,30, <=50K
33,9,0,0,40, >50K
55,13,15024,0,50, >50K
19,9,2907,0,30, <=50K
28,10,0,0,14, <=50K
27,7,0,0,32, <=50K
50,4,0,0,20, <=50K
22,7,0,0,40, <=50K
40,13,0,1887,45, >50K
25,10,0,0,40, <=50K
26,9,0,0,40, <=50K
22,13,0,0,25, <=50K
42,10,0,625,40, <=50K
38,13,0,0,40, <=50K
55,7,0,0,30, <=50K
32,9,0,0,40, <=50K
22,9,0,0,45, <=50K
29,13,0,0,40, <=50K
46,14,0,0,45, >50K
31,10,0,0,40, >50K
58,16,0,0,16, >50K
42,9,0,0,45, <=50K
18,9,0,0,25, <=50K
58,9,0,0,33, <=50K
54,9,0,1887,40, >50K
34,14,0,0,40, <=50K
26,13,0,0,40, <=50K
61,8,0,0,60, <=50K
48,14,0,0,40, <=50K
36,10,0,0,45, >50K
24,11,0,0,45, <=50K
40,10,0,0,37, <=50K
33,9,0,0,50, >50K
37,10,0,1887,40, >50K
34,14,4650,0,40, <=50K
56,10,15024,0,40, >50K
28,9,0,0,38, >50K
37,13,0,0,55, <=50K
44,9,0,0,40, <=50K
64,10,0,0,8, <=50K
54,9,0,0,45, <=50K
23,9,0,0,50, <=50K
34,13,0,0,40, <=50K
22,9,0,0,45, <=50K
33,13,0,1977,40, >50K
39,13,0,0,50, >50K
47,10,0,0,37, <=50K
79,4,0,0,40, <=50K
26,9,0,0,55, <=50K
31,10,0,0,40, <=50K
44,10,0,0,45, <=50K
42,15,0,0,50, >50K
19,9,0,0,40, <=50K
27,9,0,0,40, >50K
51,10,0,0,40, >50K
28,13,0,0,50, <=50K
57,13,0,0,45, <=50K
45,13,0,0,40, <=50K
50,11,0,0,40, >50K
34,13,0,0,54, <=50K
45,4,0,0,40, <=50K
73,9,0,0,20, <=50K
34,13,0,0,50, >50K
31,10,0,0,55, >50K
19,7,0,0,12, <=50K
25,10,0,0,50, <=50K
38,11,6497,0,40, <=50K
39,13,0,0,40, <=50K
23,13,0,0,32, <=50K
49,9,0,0,40, <=50K
33,9,0,0,32, <=50K
21,3,0,0,38, <=50K
31,11,0,0,40, <=50K
23,13,0,0,45, <=50K
34,13,0,0,40, <=50K
25,9,0,0,40, <=50K
39,9,0,0,40, <=50K
52,9,0,0,40, >50K
63,5,7688,0,40, >50K
41,10,0,0,40, <=50K
46,13,15024,0,38, >50K
53,9,0,0,40, <=50K
25,5,1055,0,40, <=50K
77,10,0,0,35, <=50K
18,8,0,0,40, <=50K
38,15,0,0,50, <=50K
55,14,0,0,50, <=50K
34,9,0,0,40, >50K
80,9,0,0,30, <=50K
34,11,0,0,60, <=50K
52,10,5013,0,40, <=50K
42,9,0,0,28, <=50K
26,10,0,0,40, <=50K
31,9,0,0,40, <=50K
25,9,0,0,35, <=50K
55,9,0,2057,60, <=50K
19,10,0,0,12, <=50K
62,10,0,0,32, <=50K
22,10,0,0,20, <=50K
39,9,0,0,50, <=50K
35,9,0,0,40, <=50K
28,9,0,0,40, <=50K
47,9,0,0,70, >50K
44,9,0,0,40, <=50K
21,10,0,0,15, <=50K
35,11,0,0,50, <=50K
24,13,0,0,40, >50K
42,13,0,0,40, <=50K
28,13,0,0,50, <=50K
21,10,0,0,35, <=50K
62,10,4650,0,40, <=50K
39,9,0,0,40, <=50K
30,9,0,0,40, <=50K
72,15,0,1429,20, <=50K
50,10,0,0,50, <=50K
28,14,0,0,40, <=50K
29,10,0,0,40, <=50K
26,13,0,0,40, <=50K
27,14,0,0,40, <=50K
29,10,3103,0,40, >50K
61,9,0,0,40, <=50K
29,6,0,0,25, <=50K
21,10,0,0,30, <=50K
31,7,0,0,20, <=50K
25,9,0,0,75, <=50K
58,6,0,0,40, >50K
64,10,0,0,40, >50K
46,14,0,0,38, <=50K
53,9,0,0,35, >50K
19,9,0,0,35, <=50K
42,9,0,0,52, <=50K
18,7,0,0,24, <=50K
58,13,15024,0,50, >50K
20,10,0,0,60, <=50K
35,9,0,0,40, >50K
32,9,0,0,38, >50K
23,9,0,0,25, <=50K
31,10,0,0,40, <=50K
33,13,0,0,55, <=50K
41,10,0,0,48, <=50K
22,9,0,0,40, <=50K
46,10,0,0,40, >50K
61,10,0,0,40, <=50K
30,9,0,0,40, <=50K
42,9,0,0,55, >50K
63,6,0,0,40, <=50K
26,10,0,0,40, <=50K
42,6,0,0,40, <=50K
23,10,0,0,40, <=50K
25,9,0,1590,40, <=50K
30,5,0,0,32, >50K
23,9,0,0,40, <=50K
34,11,27828,0,60, >50K
30,9,0,2057,48, <=50K
39,10,0,0,40, >50K
30,7,0,1721,38, <=50K
38,10,0,0,38, <=50K
26,9,0,0,40, <=50K
20,10,0,0,16, <=50K
37,13,0,0,40, <=50K
33,9,0,0,40, <=50K
24,13,0,0,40, <=50K
42,13,0,0,60, >50K
51,9,3103,0,84, <=50K
56,12,0,0,45, >50K
22,10,0,0,40, <=50K
52,10,0,0,60, <=50K
44,13,4934,0,45, >50K
34,9,4064,0,35, <=50K
51,10,0,0,42, >50K
20,10,0,0,40, <=50K
19,10,0,0,25, <=50K
37,13,0,0,40, >50K
68,9,0,0,40, >50K
22,10,0,0,40, <=50K
56,13,0,0,40, <=50K
37,9,0,0,40, <=50K
52,2,0,0,40, <=50K
26,9,0,0,40, <=50K
33,14,0,0,50, <=50K
45,14,0,0,42, <=50K
18,7,0,0,15, <=50K
43,10,0,0,60, >50K
64,16,15024,0,50, >50K
18,9,0,0,20, <=50K
20,10,0,0,45, <=50K
57,9,0,0,40, >50K
41,9,3674,0,42, <=50K
34,14,0,1887,50, >50K
19,9,0,0,40, <=50K
44,5,0,0,55, <=50K
56,6,0,0,40, <=50K
36,9,0,0,80, <=50K
48,13,0,0,48, <=50K
29,9,0,0,40, >50K
33,13,2174,0,40, <=50K
31,3,0,0,40, <=50K
39,14,0,0,45, >50K
66,9,10605,0,40, >50K
27,13,0,0,50, >50K
39,9,99999,0,40, >50K
59,4,5178,0,50, >50K
26,9,0,0,40, <=50K
31,11,0,0,40, <=50K
45,9,0,0,40, <=50K
23,9,0,0,30, <=50K
36,9,0,0,40, <=50K
34,10,0,0,12, >50K
32,9,0,0,84, >50K
37,13,0,0,50, >50K
33,13,0,0,45, <=50K
50,15,99999,0,80, >50K
32,12,0,0,40, <=50K
35,13,0,0,40, <=50K
37,7,0,0,40, <=50K
44,10,0,0,60, <=50K
57,10,0,0,25, <=50K
29,10,0,0,40, <=50K
55,9,0,0,50, >50K
43,15,0,0,25, >50K
43,10,0,0,70, <=50K
45,10,0,0,60, >50K
33,14,0,0,8, <=50K
26,6,0,0,40, <=50K
23,10,0,0,68, <=50K
41,4,0,0,40, <=50K
24,9,0,0,40, <=50K
47,13,0,0,44, <=50K
34,9,0,0,45, <=50K
40,9,0,0,40, >50K
28,13,0,1485,40, <=50K
24,9,0,0,40, <=50K
73,10,0,0,10, <=50K
23,9,0,0,15, <=50K
43,9,0,0,40, >50K
26,13,0,0,40, <=50K
58,16,0,1485,35, >50K
52,9,0,0,35, <=50K
29,7,0,0,99, >50K
47,7,0,0,35, <=50K
49,9,0,0,37, <=50K
40,7,0,0,40, <=50K
62,9,0,0,40, <=50K
49,9,0,1977,55, >50K
50,13,0,0,50, >50K
31,9,0,0,40, <=50K
48,14,0,0,50, <=50K
24,9,0,0,40, <=50K
41,9,3418,0,40, <=50K
37,9,0,0,60, <=50K
45,13,0,0,45, >50K
63,9,0,0,16, <=50K
36,14,0,0,45, <=50K
45,13,0,0,40, <=50K
41,13,0,0,40, <=50K
26,12,0,0,20, <=50K
17,7,0,0,25, <=50K
27,9,0,0,36, <=50K
43,9,0,0,65, <=50K
35,9,0,0,55, <=50K
38,13,0,0,40, <=50K
26,9,0,0,40, <=50K
28,10,0,0,40, <=50K
38,13,0,0,24, >50K
36,7,0,0,40, <=50K
33,9,0,0,40, >50K
19,9,1055,0,70, <=50K
22,12,0,0,25, <=50K
42,6,0,0,40, <=50K
50,6,0,0,40, >50K
30,9,0,0,30, <=50K
37,10,0,0,40, <=50K
54,15,99999,0,40, >50K
52,13,0,0,40, <=50K
65,2,0,0,40, <=50K
33,9,0,0,40, <=50K
25,10,0,0,40, <=50K
24,13,0,0,45, <=50K
26,11,114,0,40, <=50K
39,9,0,0,40, >50K
59,9,0,0,40, <=50K
29,10,0,0,40, <=50K
47,7,0,0,45, <=50K
23,10,0,0,35, <=50K
64,9,0,0,50, <=50K
21,9,0,0,20, <=50K
32,10,0,0,40, >50K
26,9,0,0,37, <=50K
19,10,0,0,20, <=50K
62,14,0,0,40, <=50K
32,13,0,0,55, >50K
75,6,0,0,5, <=50K
45,9,0,0,60, <=50K
31,13,0,1887,50, >50K
32,9,2580,0,40, <=50K
24,13,0,0,40, <=50K
25,13,0,0,40, <=50K
41,9,0,0,60, <=50K
18,10,0,0,20, <=50K
44,16,0,0,55, >50K
40,10,3411,0,50, <=50K
27,13,0,0,40, <=50K
23,13,0,0,40, <=50K
21,10,2174,0,40, <=50K
37,9,0,0,40, <=50K
65,9,0,0,48, <=50K
43,14,0,0,40, >50K
45,9,0,0,44, <=50K
24,13,0,0,40, <=50K
24,10,0,0,42, <=50K
19,10,0,1721,35, <=50K
37,13,0,0,65, >50K
24,9,0,0,35, <=50K
34,10,0,0,40, <=50K
50,9,0,0,39, <=50K
36,9,0,0,40, <=50K
39,13,0,0,60, <=50K
44,4,0,0,38, <=50K
45,9,0,0,40, <=50K
32,7,0,0,40, <=50K
47,14,0,0,40, >50K
50,9,0,0,40, <=50K
32,11,0,0,40, <=50K
19,9,0,0,40, <=50K
19,10,0,0,20, <=50K
28,14,0,0,10, <=50K
28,9,0,0,50, <=50K
39,14,0,0,40, >50K
21,10,2907,0,40, <=50K
73,10,0,0,75, <=50K
39,4,4508,0,40, <=50K
25,10,0,0,40, <=50K
31,10,0,0,20, <=50K
51,10,0,0,32, <=50K
39,13,0,0,28, <=50K
31,13,0,0,40, <=50K
21,10,0,0,17, <=50K
46,13,27828,0,50, >50K
73,9,0,0,35, <=50K
41,9,0,0,40, <=50K
20,9,0,0,40, <=50K
27,12,0,0,30, <=50K
24,13,0,0,35, <=50K
20,10,0,0,40, <=50K
39,11,0,0,40, <=50K
27,13,0,0,28, <=50K
33,7,0,0,60, <=50K
33,9,0,0,40, <=50K
36,5,0,0,40, <=50K
55,10,0,0,36, <=50K
19,10,0,0,40, <=50K
35,9,0,0,60, <=50K
34,3,0,0,40, <=50K
62,15,0,0,35, <=50K
33,10,0,0,40, >50K
39,5,4386,0,55, <=50K
36,10,0,0,40, <=50K
41,13,0,0,33, <=50K
39,9,0,0,60, <=50K
38,9,0,1887,10, >50K
18,9,0,0,10, <=50K
61,10,15024,0,45, >50K
20,11,0,0,36, <=50K
35,9,0,0,65, >50K
27,9,0,0,40, <=50K
66,6,0,0,38, <=50K
21,9,0,0,40, <=50K
20,10,0,0,18, <=50K
34,10,0,0,40, <=50K
63,3,0,0,50, <=50K
20,9,0,0,40, <=50K
31,9,0,0,40, <=50K
41,16,0,2051,60, <=50K
64,2,0,0,45, <=50K
32,13,0,0,40, <=50K
30,9,0,0,50, >50K
36,13,0,0,72, <=50K
22,10,0,0,12, <=50K
53,10,0,0,50, <=50K
50,9,0,0,40, <=50K
36,13,0,0,40, <=50K
41,7,0,0,40, <=50K
55,13,0,0,35, <=50K
38,13,15024,0,50, >50K
28,13,2174,0,50, <=50K
24,13,0,0,37, <=50K
60,10,0,0,40, <=50K
54,6,0,0,40, <=50K
27,9,0,0,60, <=50K
30,14,0,0,30, <=50K
54,9,0,0,45, <=50K
44,10,5178,0,40, >50K
52,9,0,0,60, >50K
18,7,0,0,20, <=50K
55,4,0,0,50, <=50K
35,13,0,0,50, >50K
37,13,0,0,40, >50K
22,10,0,0,40, <=50K
45,13,0,0,45, >50K
38,13,0,0,60, <=50K
48,13,0,0,40, <=50K
35,11,0,0,40, <=50K
21,11,0,0,50, <=50K
37,9,0,0,60, >50K
18,7,0,0,25, <=50K
26,6,0,0,35, <=50K
48,13,0,0,50, <=50K
51,10,8614,0,40, >50K
52,10,0,0,40, <=50K
32,13,0,0,40, >50K
39,13,0,0,60, <=50K
51,13,0,0,40, >50K
54,13,0,0,50, <=50K
21,10,0,0,25, <=50K
43,9,0,0,40, <=50K
32,10,0,0,40, <=50K
31,14,0,0,35, >50K
73,9,0,0,8, <=50K
26,10,0,0,60, <=50K
35,9,0,0,40, <=50K
73,3,0,0,54, >50K
25,13,0,0,40, <=50K
58,11,0,2377,65, <=50K
32,9,0,0,37, <=50K
28,13,0,0,40, <=50K
41,14,0,0,30, <=50K
53,9,0,0,48, <=50K
49,9,0,0,35, <=50K
55,13,0,0,40, >50K
29,10,7298,0,50, >50K
28,11,0,0,80, <=50K
44,9,0,0,45, <=50K
41,14,0,0,45, >50K
26,11,3103,0,45, >50K
23,9,0,0,40, >50K
37,13,0,0,40, >50K
23,13,13550,0,50, >50K
33,10,0,0,40, <=50K
44,9,0,0,40, >50K
21,10,2907,0,30, <=50K
36,7,0,0,40, <=50K
44,13,5013,0,40, <=50K
23,9,0,0,40, <=50K
26,9,0,0,40, <=50K
32,3,0,0,40, <=50K
31,10,0,0,40, >50K
50,9,6497,0,35, <=50K
18,10,0,0,20, <=50K
49,13,0,0,50, >50K
59,9,0,0,40, <=50K
38,9,0,0,28, <=50K
50,10,0,0,55, <=50K
51,10,0,1672,55, <=50K
22,10,0,0,35, <=50K
54,9,0,0,40, >50K
37,9,0,0,40, <=50K
31,13,0,0,60, <=50K
67,13,0,0,40, <=50K
43,7,0,0,40, <=50K
21,10,0,0,40, <=50K
30,9,0,0,40, <=50K
32,10,0,0,50, <=50K
36,11,0,0,40, <=50K
33,13,0,0,40, <=50K
37,9,0,0,56, <=50K
29,15,7298,0,48, >50K
18,10,0,0,30, <=50K
26,10,0,0,40, <=50K
51,4,0,0,40, <=50K
39,9,0,0,40, <=50K
18,9,0,0,30, <=50K
52,8,0,1628,40, <=50K
31,10,0,0,40, <=50K
45,13,7298,0,53, >50K
38,10,0,0,38, <=50K
21,12,0,0,35, <=50K
33,9,0,0,40, <=50K
39,10,0,0,40, <=50K
31,9,0,0,40, <=50K
43,13,0,1902,50, >50K
64,13,0,1672,10, <=50K
33,13,7298,0,45, >50K
49,9,0,0,60, <=50K
41,9,0,0,40, <=50K
55,10,0,0,40, <=50K
52,10,0,0,37, <=50K
42,13,0,0,40, <=50K
24,10,0,0,30, <=50K
42,9,0,0,52, <=50K
41,13,7298,0,40, >50K
35,9,0,0,40, <=50K
71,3,0,0,10, <=50K
54,14,0,0,42, >50K
24,3,0,0,40, <=50K
59,9,0,0,40, <=50K
30,7,0,0,40, <=50K
57,13,0,0,40, >50K
58,14,15024,0,40, >50K
32,9,0,0,40, <=50K
22,9,1055,0,25, <=50K
20,9,0,0,25, <=50K
60,13,0,0,40, <=50K
51,9,0,0,40, <=50K
26,9,0,0,20, <=50K
33,7,0,0,40, <=50K
19,6,0,0,40, <=50K
50,9,15024,0,20, >50K
32,9,0,0,40, <=50K
51,13,0,0,40, >50K
18,10,0,0,20, <=50K
35,14,0,0,50, >50K
22,10,0,1602,25, <=50K
46,9,0,0,55, <=50K
37,9,0,0,45, <=50K
45,10,0,1902,20, >50K
63,5,0,0,32, <=50K
53,9,0,0,10, <=50K
24,9,0,0,40, <=50K
65,7,0,0,29, <=50K
43,12,0,0,32, >50K
47,9,0,0,40, <=50K
41,9,0,0,40, <=50K
27,9,6849,0,40, <=50K
35,9,0,0,75, <=50K
19,10,0,0,24, <=50K
47,10,0,0,35, <=50K
25,13,0,1590,40, <=50K
59,15,0,0,40, >50K
28,6,0,0,40, <=50K
17,6,0,0,20, <=50K
21,10,2463,0,50, <=50K
31,9,0,0,40, <=50K
49,9,0,0,40, <=50K
48,14,7688,0,50, >50K
60,16,0,0,20, <=50K
33,8,0,0,40, <=50K
40,9,0,0,40, <=50K
42,10,0,0,52, <=50K
34,9,5013,0,40, <=50K
38,11,0,0,52, <=50K
58,10,0,0,70, >50K
20,10,0,0,40, <=50K
52,10,0,0,55, <=50K
22,10,0,0,40, <=50K
24,13,0,0,35, >50K
39,9,0,0,40, <=50K
41,14,99999,0,55, >50K
37,10,0,0,30, <=50K
56,5,2580,0,40, <=50K
21,9,0,0,40, <=50K
29,9,0,0,25, <=50K
45,11,0,0,10, <=50K
44,10,0,0,80, >50K
54,14,0,0,45, >50K
24,10,2174,0,40, <=50K
40,13,0,0,50, <=50K
43,13,99999,0,60, >50K
20,10,0,0,16, <=50K
41,7,0,0,40, <=50K
32,11,0,0,40, <=50K
31,13,0,0,25, <=50K
26,9,0,0,40, <=50K
50,13,0,0,40, >50K
62,11,3137,0,40, <=50K
24,9,2885,0,45, <=50K
58,13,0,0,65, >50K
44,10,0,0,40, >50K
44,8,0,0,40, <=50K
37,10,0,0,50, >50K
65,4,2964,0,40, <=50K
33,9,0,0,40, >50K
34,9,0,0,37, <=50K
56,14,0,0,60, >50K
35,14,0,1977,48, >50K
33,13,0,1741,40, <=50K
35,13,0,0,48, <=50K
47,10,0,0,60, <=50K
35,5,0,0,96, <=50K
56,10,0,0,40, <=50K
29,14,0,0,40, <=50K
53,15,7298,0,50, >50K
42,11,0,0,25, <=50K
20,10,0,0,40, <=50K
24,13,0,0,50, <=50K
33,9,0,0,40, <=50K
42,6,0,0,45, <=50K
38,10,0,1887,50, >50K
32,9,0,0,40, <=50K
20,4,0,0,20, <=50K
32,9,0,0,50, <=50K
28,10,0,0,40, >50K
51,9,0,0,55, >50K
41,9,0,0,30, <=50K
37,12,0,0,50, <=50K
23,9,0,0,40, <=50K
40,9,0,0,40, <=50K
47,6,0,0,40, <=50K
46,9,0,0,50, <=50K
24,13,0,0,40, <=50K
40,9,0,0,28, <=50K
30,9,0,0,60, <=50K
41,15,0,0,52, >50K
37,13,0,0,45, >50K
49,9,0,0,40, <=50K
41,13,0,0,50, >50K
52,11,0,0,35, <=50K
23,10,0,0,50, <=50K
34,9,1471,0,40, <=50K
25,13,0,2444,40, >50K
44,9,0,0,45, >50K
31,9,0,0,33, <=50K
53,13,0,0,40, <=50K
62,9,0,0,50, <=50K
35,13,0,1876,55, <=50K
30,13,0,0,40, <=50K
48,9,0,0,40, >50K
36,13,0,0,40, >50K
32,7,0,0,33, <=50K
22,10,0,0,28, <=50K
17,7,0,0,40, <=50K
19,9,0,0,40, <=50K
26,9,0,0,40, <=50K
20,10,0,0,40, <=50K
56,10,0,0,35, >50K
45,4,0,0,21, <=50K
23,10,0,0,40, <=50K
31,9,0,0,40, <=50K
30,7,0,0,8, <=50K
42,9,5013,0,35, <=50K
27,15,0,0,60, <=50K
37,13,0,0,50, >50K
31,9,0,0,60, <=50K
33,13,0,0,40, <=50K
64,1,0,0,40, <=50K
32,9,0,0,40, <=50K
62,9,5178,0,40, >50K
37,10,0,0,40, <=50K
25,7,0,0,40, <=50K
49,9,4064,0,40, <=50K
36,13,0,1902,40, >50K
67,10,10566,0,15, <=50K
54,9,0,0,40, >50K
45,16,0,0,40, >50K
30,10,0,0,40, <=50K
39,9,0,0,40, <=50K
57,6,0,0,20, <=50K
57,6,0,0,40, <=50K
23,9,0,0,40, <=50K
49,9,0,0,40, <=50K
46,13,0,0,10, >50K
41,13,0,0,43, <=50K
44,11,0,0,45, <=50K
25,13,2463,0,30, <=50K
34,13,0,0,45, >50K
24,13,0,0,25, <=50K
32,13,0,0,45, <=50K
27,9,0,0,50, >50K
67,8,0,0,40, <=50K
36,9,0,0,40, <=50K
40,10,0,1408,48, <=50K
24,9,0,0,40, <=50K
46,13,0,1902,40, >50K
44,9,0,0,38, <=50K
23,10,0,0,40, >50K
46,15,0,0,90, <=50K
31,11,0,0,40, <=50K
21,10,0,0,40, <=50K
61,9,0,0,40, >50K
71,9,0,0,15, <=50K
42,13,0,0,40, >50K
27,10,0,0,5, <=50K
21,10,0,0,16, <=50K
21,1,0,0,25, <=50K
28,13,2354,0,60, <=50K
27,12,0,0,37, <=50K
32,10,0,2001,25, <=50K
47,9,0,0,40, <=50K
22,12,0,0,35, <=50K
56,9,0,0,40, <=50K
20,9,0,0,40, <=50K
30,10,0,0,40, <=50K
22,10,0,0,25, <=50K
28,11,7688,0,45, >50K
50,14,0,0,55, >50K
66,9,1424,0,10, <=50K
38,10,0,0,46, <=50K
62,8,0,0,30, <=50K
36,14,0,0,40, >50K
47,6,0,0,35, <=50K
25,9,0,0,40, <=50K
26,10,0,0,40, <=50K
37,7,0,0,40, <=50K
70,4,0,0,8, <=50K
52,7,0,0,40, <=50K
70,5,0,0,18, <=50K
19,9,0,0,40, <=50K
23,7,0,0,3, <=50K
37,13,0,0,16, >50K
37,7,0,0,40, <=50K
45,10,0,0,40, <=50K
29,13,0,0,50, >50K
56,13,0,0,20, <=50K
50,14,0,0,40, <=50K
20,9,0,2001,30, <=50K
26,13,0,0,40, <=50K
41,15,0,2415,60, >50K
21,9,0,0,40, <=50K
48,3,0,2042,50, <=50K
22,10,0,0,40, <=50K
37,12,0,0,35, <=50K
47,10,0,0,30, >50K
61,13,0,0,40, <=50K
47,14,0,0,40, >50K
37,9,0,0,25, <=50K
46,11,0,0,40, <=50K
42,9,0,0,48, <=50K
41,9,0,0,40, <=50K
33,5,0,0,40, <=50K
24,13,0,0,35, <=50K
27,12,0,0,40, <=50K
40,13,0,0,39, <=50K
56,6,0,0,40, <=50K
35,16,0,0,55, <=50K
24,11,0,0,40, <=50K
73,10,0,0,1, <=50K
36,10,0,0,50, <=50K
31,13,0,0,50, >50K
50,9,0,0,45, <=50K
36,9,0,0,40, <=50K
37,9,0,0,40, >50K
26,13,0,0,55, <=50K
20,9,0,0,40, <=50K
58,13,0,0,40, >50K
45,13,0,0,40, >50K
33,13,0,0,40, <=50K
31,13,0,0,40, <=50K
44,15,99999,0,60, >50K
19,10,0,0,30, <=50K
54,9,0,0,50, >50K
31,14,0,1740,40, <=50K
27,9,0,0,35, <=50K
36,10,5178,0,40, >50K
47,10,0,1876,40, <=50K
35,13,0,0,45, <=50K
42,2,0,0,55, >50K
45,13,0,0,40, <=50K
70,9,1455,0,40, <=50K
27,8,0,0,44, <=50K
36,9,0,0,60, >50K
23,9,0,0,40, <=50K
25,13,0,0,50, <=50K
45,10,7688,0,45, >50K
24,9,0,0,30, <=50K
90,12,0,1825,50, >50K
50,9,0,1902,44, >50K
37,9,7688,0,99, >50K
31,10,0,0,40, <=50K
17,7,0,0,40, <=50K
26,10,0,0,38, <=50K
41,16,0,0,60, <=50K
50,9,0,0,60, >50K
45,9,0,0,80, <=50K
54,10,0,0,55, >50K
54,9,0,0,40, <=50K
38,9,0,0,40, <=50K
22,9,0,0,38, <=50K
43,9,0,0,40, <=50K
19,9,0,0,30, <=50K
30,13,0,0,40, >50K
31,5,0,0,40, <=50K
42,9,3325,0,40, <=50K
48,10,0,0,40, >50K
56,10,0,0,35, >50K
21,10,0,0,36, <=50K
45,13,0,0,40, <=50K
37,15,0,0,40, >50K
38,13,0,0,30, <=50K
34,10,0,0,50, <=50K
29,9,0,0,40, <=50K
24,9,0,0,40, <=50K
79,14,0,0,23, <=50K
35,12,0,0,55, <=50K
39,6,0,0,70, <=50K
73,4,0,0,12, <=50K
57,11,0,0,40, <=50K
35,13,0,0,50, <=50K
60,9,0,0,32, <=50K
19,10,0,0,40, <=50K
54,9,0,0,40, <=50K
