Culmen Length (mm),Culmen Depth (mm),Species
47.7,15.0,Gentoo
46.4,15.6,Gentoo
48.2,15.6,Gentoo
46.5,14.8,Gentoo
46.4,15.0,Gentoo
48.6,16.0,Gentoo
47.5,14.2,Gentoo
51.1,16.3,Gentoo
45.2,13.8,Gentoo
45.2,16.4,Gentoo
49.1,14.5,Gentoo
52.5,15.6,Gentoo
47.4,14.6,Gentoo
50.0,15.9,Gentoo
44.9,13.8,Gentoo
50.8,17.3,Gentoo
43.4,14.4,Gentoo
51.3,14.2,Gentoo
47.5,14.0,Gentoo
52.1,17.0,Gentoo
47.5,15.0,Gentoo
52.2,17.1,Gentoo
45.5,14.5,Gentoo
49.5,16.1,Gentoo
44.5,14.7,Gentoo
50.8,15.7,Gentoo
49.4,15.8,Gentoo
46.9,14.6,Gentoo
48.4,14.4,Gentoo
51.1,16.5,Gentoo
48.5,15.0,Gentoo
55.9,17.0,Gentoo
47.2,15.5,Gentoo
49.1,15.0,Gentoo
47.3,13.8,Gentoo
46.8,16.1,Gentoo
41.7,14.7,Gentoo
53.4,15.8,Gentoo
43.3,14.0,Gentoo
48.1,15.1,Gentoo
50.5,15.2,Gentoo
49.8,15.9,Gentoo
43.5,15.2,Gentoo
51.5,16.3,Gentoo
46.2,14.1,Gentoo
55.1,16.0,Gentoo
44.5,15.7,Gentoo
48.8,16.2,Gentoo
47.2,13.7,Gentoo
46.8,14.3,Gentoo
50.4,15.7,Gentoo
45.2,14.8,Gentoo
49.9,16.1,Gentoo
46.5,17.9,Chinstrap
50.0,19.5,Chinstrap
51.3,19.2,Chinstrap
45.4,18.7,Chinstrap
52.7,19.8,Chinstrap
45.2,17.8,Chinstrap
46.1,18.2,Chinstrap
51.3,18.2,Chinstrap
46.0,18.9,Chinstrap
51.3,19.9,Chinstrap
46.6,17.8,Chinstrap
51.7,20.3,Chinstrap
47.0,17.3,Chinstrap
52.0,18.1,Chinstrap
45.9,17.1,Chinstrap
50.5,19.6,Chinstrap
50.3,20.0,Chinstrap
58.0,17.8,Chinstrap
46.4,18.6,Chinstrap
49.2,18.2,Chinstrap
42.4,17.3,Chinstrap
48.5,17.5,Chinstrap
43.2,16.6,Chinstrap
50.6,19.4,Chinstrap
46.7,17.9,Chinstrap
52.0,19.0,Chinstrap
50.5,18.4,Chinstrap
49.5,19.0,Chinstrap
46.4,17.8,Chinstrap
52.8,20.0,Chinstrap
40.9,16.6,Chinstrap
54.2,20.8,Chinstrap
42.5,16.7,Chinstrap
51.0,18.8,Chinstrap
49.7,18.6,Chinstrap
47.5,16.8,Chinstrap
47.6,18.3,Chinstrap
52.0,20.7,Chinstrap
46.9,16.6,Chinstrap
53.5,19.9,Chinstrap
49.0,19.5,Chinstrap
46.2,17.5,Chinstrap
50.9,19.1,Chinstrap
45.5,17.0,Chinstrap
50.9,17.9,Chinstrap
50.8,18.5,Chinstrap
50.1,17.9,Chinstrap
49.0,19.6,Chinstrap
51.5,18.7,Chinstrap
49.8,17.3,Chinstrap
48.1,16.4,Chinstrap
51.4,19.0,Chinstrap
45.7,17.3,Chinstrap
50.7,19.7,Chinstrap
42.5,17.3,Chinstrap
52.2,18.8,Chinstrap
45.2,16.6,Chinstrap
49.3,19.9,Chinstrap
50.2,18.8,Chinstrap
45.6,19.4,Chinstrap
51.9,19.5,Chinstrap
46.8,16.5,Chinstrap
45.7,17.0,Chinstrap
55.8,19.8,Chinstrap
43.5,18.1,Chinstrap
49.6,18.2,Chinstrap
50.8,19.0,Chinstrap
50.2,18.7,Chinstrap
