Recency,Frequency,Monetary,Time,Class
2,5,1250,26,not donated
6,17,4250,70,not donated
0,8,2000,59,not donated
3,5,1250,26,not donated
2,3,750,14,not donated
2,10,2500,64,not donated
4,5,1250,23,donated
4,9,2250,46,not donated
4,5,1250,23,not donated
4,8,2000,40,donated
2,12,3000,82,not donated
11,24,6000,64,not donated
2,7,1750,46,donated
4,11,2750,61,not donated
1,7,1750,57,not donated
2,11,2750,79,donated
2,3,750,16,donated
4,5,1250,26,donated
2,6,1500,41,donated
2,5,1250,33,donated
2,4,1000,26,not donated
2,5,1250,34,not donated
4,8,2000,46,donated
2,4,1000,26,not donated
4,8,2000,48,donated
2,2,500,10,donated
4,5,1250,28,not donated
2,12,3000,95,not donated
2,2,500,10,not donated
4,6,1500,35,not donated
2,11,2750,88,not donated
2,3,750,19,not donated
2,5,1250,37,not donated
2,12,3000,98,not donated
9,5,1250,19,not donated
2,2,500,11,not donated
2,9,2250,74,not donated
5,14,3500,86,not donated
4,3,750,16,not donated
4,3,750,16,not donated
4,2,500,9,donated
4,3,750,16,donated
6,3,750,14,not donated
2,2,500,11,not donated
2,2,500,11,donated
2,2,500,11,not donated
2,7,1750,58,donated
4,6,1500,39,not donated
4,11,2750,78,not donated
2,1,250,2,donated
2,1,250,2,not donated
2,1,250,2,not donated
2,1,250,2,not donated
2,1,250,2,not donated
2,1,250,2,not donated
2,1,250,2,not donated
2,1,250,2,not donated
2,1,250,2,not donated
2,1,250,2,not donated
2,1,250,2,donated
2,1,250,2,donated
2,1,250,2,donated
2,1,250,2,not donated
2,1,250,2,not donated
2,1,250,2,not donated
2,1,250,2,not donated
2,1,250,2,not donated
2,1,250,2,not donated
2,1,250,2,not donated
2,1,250,2,not donated
2,1,250,2,not donated
11,10,2500,35,not donated
11,4,1000,16,donated
4,5,1250,33,donated
4,6,1500,41,donated
2,3,750,22,not donated
4,4,1000,26,donated
10,4,1000,16,not donated
2,4,1000,35,not donated
4,12,3000,88,not donated
13,8,2000,26,not donated
11,9,2250,33,not donated
4,5,1250,34,not donated
4,4,1000,26,not donated
8,15,3750,77,not donated
4,5,1250,35,donated
4,7,1750,52,not donated
4,7,1750,52,not donated
2,4,1000,35,not donated
11,11,2750,42,not donated
2,2,500,14,not donated
2,5,1250,47,donated
9,8,2000,38,donated
4,6,1500,47,not donated
11,7,1750,29,not donated
9,9,2250,45,not donated
4,6,1500,52,not donated
4,7,1750,58,not donated
6,2,500,11,donated
4,7,1750,58,not donated
11,9,2250,38,not donated
11,6,1500,26,not donated
2,2,500,16,not donated
2,7,1750,76,not donated
11,6,1500,27,not donated
11,3,750,14,not donated
4,1,250,4,not donated
4,1,250,4,not donated
4,1,250,4,not donated
4,1,250,4,not donated
4,1,250,4,not donated
4,1,250,4,donated
4,1,250,4,not donated
4,1,250,4,not donated
4,1,250,4,not donated
4,1,250,4,not donated
4,1,250,4,not donated
4,1,250,4,donated
4,1,250,4,donated
4,1,250,4,not donated
4,1,250,4,donated
4,1,250,4,donated
4,1,250,4,not donated
4,3,750,24,not donated
4,1,250,4,not donated
4,1,250,4,not donated
4,1,250,4,not donated
4,1,250,4,donated
4,1,250,4,not donated
10,8,2000,39,not donated
14,7,1750,26,not donated
8,10,2500,63,not donated
11,3,750,15,not donated
4,2,500,14,not donated
2,4,1000,43,not donated
8,9,2250,58,not donated
8,8,2000,52,donated
11,22,5500,98,not donated
4,3,750,25,donated
11,17,4250,79,donated
9,2,500,11,not donated
4,5,1250,46,not donated
11,12,3000,58,not donated
7,12,3000,86,not donated
11,2,500,11,not donated
11,2,500,11,not donated
11,2,500,11,not donated
2,6,1500,75,not donated
11,8,2000,41,donated
11,3,750,16,donated
12,13,3250,59,not donated
2,3,750,35,not donated
16,8,2000,28,not donated
11,7,1750,37,not donated
4,3,750,28,not donated
12,12,3000,58,not donated
4,4,1000,41,not donated
11,14,3500,73,donated
2,2,500,23,not donated
2,3,750,38,donated
4,5,1250,58,not donated
4,4,1000,43,donated
3,2,500,23,not donated
11,8,2000,46,not donated
4,7,1750,82,not donated
13,4,1000,21,not donated
16,11,2750,40,not donated
16,7,1750,28,not donated
7,2,500,16,not donated
4,5,1250,58,not donated
4,5,1250,58,not donated
4,4,1000,46,not donated
14,13,3250,57,not donated
4,3,750,34,not donated
14,18,4500,78,not donated
11,8,2000,48,not donated
14,16,4000,70,not donated
14,4,1000,22,donated
14,5,1250,26,not donated
8,2,500,16,not donated
11,5,1250,33,not donated
11,2,500,14,not donated
4,2,500,23,not donated
9,2,500,16,donated
14,5,1250,28,donated
14,3,750,19,donated
14,4,1000,23,donated
16,12,3000,50,not donated
11,4,1000,28,not donated
11,5,1250,35,not donated
11,5,1250,35,not donated
2,4,1000,70,not donated
14,5,1250,28,not donated
14,2,500,14,not donated
14,2,500,14,not donated
14,2,500,14,not donated
14,2,500,14,not donated
14,2,500,14,not donated
14,2,500,14,not donated
2,3,750,52,not donated
14,6,1500,34,not donated
11,5,1250,37,donated
4,5,1250,74,not donated
11,3,750,23,not donated
16,4,1000,23,not donated
16,3,750,19,not donated
11,5,1250,38,not donated
11,2,500,16,not donated
12,9,2250,60,not donated
9,1,250,9,not donated
9,1,250,9,not donated
4,2,500,29,not donated
11,2,500,17,not donated
14,4,1000,26,not donated
11,9,2250,72,donated
11,5,1250,41,not donated
15,16,4000,82,not donated
9,5,1250,51,donated
11,4,1000,34,not donated
14,8,2000,50,donated
16,7,1750,38,not donated
14,2,500,16,not donated
2,2,500,41,not donated
14,16,4000,98,not donated
14,4,1000,28,donated
16,7,1750,39,not donated
14,7,1750,47,not donated
16,6,1500,35,not donated
16,6,1500,35,donated
11,7,1750,62,donated
16,2,500,16,not donated
16,3,750,21,donated
11,3,750,28,not donated
11,7,1750,64,not donated
11,1,250,11,donated
9,3,750,34,not donated
14,4,1000,30,not donated
23,38,9500,98,not donated
11,6,1500,58,not donated
11,1,250,11,not donated
11,1,250,11,not donated
11,1,250,11,not donated
11,1,250,11,not donated
11,1,250,11,not donated
11,1,250,11,not donated
11,1,250,11,not donated
11,1,250,11,not donated
11,2,500,21,not donated
11,5,1250,50,not donated
11,2,500,21,not donated
16,4,1000,28,not donated
4,2,500,41,not donated
16,6,1500,40,not donated
14,3,750,26,not donated
9,2,500,26,not donated
21,16,4000,64,not donated
14,6,1500,51,not donated
11,2,500,24,not donated
4,3,750,71,not donated
21,13,3250,57,not donated
11,6,1500,71,not donated
14,2,500,21,donated
23,15,3750,57,not donated
14,4,1000,38,not donated
11,2,500,26,not donated
16,5,1250,40,donated
4,2,500,51,donated
14,3,750,31,not donated
4,2,500,52,not donated
9,4,1000,65,not donated
14,4,1000,40,not donated
11,3,750,40,donated
14,5,1250,50,not donated
14,1,250,14,not donated
14,1,250,14,not donated
14,1,250,14,not donated
14,1,250,14,not donated
14,1,250,14,not donated
14,1,250,14,not donated
14,1,250,14,not donated
14,1,250,14,not donated
14,7,1750,72,not donated
14,1,250,14,not donated
14,1,250,14,not donated
9,3,750,52,not donated
14,7,1750,73,not donated
11,4,1000,58,not donated
11,4,1000,59,not donated
4,2,500,59,not donated
11,4,1000,61,not donated
16,4,1000,40,not donated
16,10,2500,89,not donated
21,2,500,21,donated
21,3,750,26,not donated
16,8,2000,76,not donated
21,3,750,26,donated
18,2,500,23,not donated
23,5,1250,33,not donated
23,8,2000,46,not donated
16,3,750,34,not donated
14,5,1250,64,not donated
14,3,750,41,not donated
16,1,250,16,not donated
16,1,250,16,not donated
16,1,250,16,not donated
16,1,250,16,not donated
16,1,250,16,not donated
16,1,250,16,not donated
16,1,250,16,not donated
16,4,1000,45,not donated
16,1,250,16,not donated
16,1,250,16,not donated
16,1,250,16,not donated
16,1,250,16,not donated
16,1,250,16,not donated
16,2,500,26,not donated
21,2,500,23,not donated
16,2,500,27,not donated
21,2,500,23,not donated
21,2,500,23,not donated
14,4,1000,57,not donated
16,5,1250,60,not donated
23,2,500,23,not donated
14,5,1250,74,not donated
23,3,750,28,not donated
16,3,750,40,not donated
9,2,500,52,not donated
9,2,500,52,not donated
16,7,1750,87,donated
14,4,1000,64,not donated
14,2,500,35,not donated
16,7,1750,93,not donated
21,2,500,25,not donated
14,3,750,52,not donated
23,14,3500,93,not donated
18,8,2000,95,not donated
16,3,750,46,not donated
11,3,750,76,not donated
11,2,500,52,not donated
11,3,750,76,not donated
23,12,3000,86,not donated
21,3,750,35,not donated
23,2,500,26,not donated
23,2,500,26,not donated
23,8,2000,64,not donated
16,3,750,50,not donated
23,3,750,33,not donated
21,3,750,38,not donated
23,2,500,28,not donated
21,1,250,21,not donated
21,1,250,21,not donated
21,1,250,21,not donated
21,1,250,21,not donated
21,1,250,21,not donated
21,1,250,21,not donated
21,1,250,21,not donated
21,1,250,21,not donated
21,1,250,21,not donated
21,1,250,21,donated
21,1,250,21,not donated
21,1,250,21,not donated
21,5,1250,60,not donated
23,4,1000,45,not donated
21,4,1000,52,not donated
22,1,250,22,donated
11,2,500,70,not donated
23,5,1250,58,not donated
23,3,750,40,not donated
23,3,750,41,not donated
14,3,750,83,not donated
21,2,500,35,not donated
26,5,1250,49,donated
23,6,1500,70,not donated
23,1,250,23,not donated
23,1,250,23,not donated
23,1,250,23,not donated
23,1,250,23,not donated
23,1,250,23,not donated
23,1,250,23,not donated
23,1,250,23,not donated
23,1,250,23,not donated
23,4,1000,53,not donated
21,6,1500,86,not donated
23,3,750,48,not donated
21,2,500,41,not donated
21,3,750,64,not donated
16,2,500,70,not donated
21,3,750,70,not donated
23,4,1000,87,not donated
23,3,750,89,not donated
23,2,500,87,not donated
35,3,750,64,not donated
38,1,250,38,not donated
38,1,250,38,not donated
40,1,250,40,not donated
74,1,250,74,not donated
2,43,10750,86,donated
6,22,5500,28,donated
2,34,8500,77,donated
2,44,11000,98,not donated
0,26,6500,76,donated
2,41,10250,98,donated
3,21,5250,42,donated
2,11,2750,23,not donated
2,21,5250,52,donated
2,13,3250,32,donated
4,4,1000,4,donated
2,11,2750,26,not donated
2,11,2750,28,not donated
3,14,3500,35,not donated
4,16,4000,38,donated
4,6,1500,14,not donated
3,5,1250,12,donated
4,33,8250,98,donated
3,10,2500,33,donated
4,10,2500,28,donated
2,11,2750,40,donated
2,11,2750,41,donated
4,13,3250,39,donated
1,10,2500,43,donated
4,9,2250,28,not donated
2,4,1000,11,not donated
2,5,1250,16,donated
2,15,3750,64,not donated
5,24,6000,79,not donated
2,6,1500,22,donated
4,5,1250,16,donated
2,4,1000,14,donated
4,8,2000,28,not donated
2,4,1000,14,not donated
2,6,1500,26,not donated
4,5,1250,16,donated
2,7,1750,32,donated
2,6,1500,26,donated
2,8,2000,38,donated
2,2,500,4,donated
2,6,1500,28,donated
2,10,2500,52,not donated
4,16,4000,70,donated
4,2,500,4,donated
1,14,3500,95,not donated
4,2,500,4,donated
7,14,3500,48,not donated
2,3,750,11,not donated
2,12,3000,70,donated
4,7,1750,32,donated
4,4,1000,16,not donated
2,6,1500,35,donated
4,6,1500,28,donated
2,3,750,14,not donated
2,4,1000,23,not donated
4,4,1000,18,not donated
5,6,1500,28,not donated
4,6,1500,30,not donated
14,5,1250,14,not donated
3,8,2000,50,not donated
4,11,2750,64,donated
4,9,2250,52,not donated
4,16,4000,98,donated
7,10,2500,47,not donated
4,14,3500,86,not donated
2,9,2250,75,not donated
4,6,1500,35,not donated
4,9,2250,55,not donated
4,6,1500,35,donated
2,6,1500,45,not donated
2,6,1500,47,not donated
4,2,500,9,not donated
2,2,500,11,donated
2,2,500,11,not donated
2,2,500,11,donated
4,6,1500,38,donated
3,4,1000,29,donated
9,9,2250,38,not donated
11,5,1250,18,not donated
2,3,750,21,not donated
2,1,250,2,not donated
2,1,250,2,donated
2,1,250,2,not donated
2,1,250,2,not donated
2,1,250,2,not donated
2,1,250,2,not donated
2,1,250,2,donated
2,1,250,2,not donated
2,1,250,2,not donated
2,1,250,2,not donated
2,1,250,2,not donated
11,11,2750,38,not donated
2,3,750,22,not donated
9,11,2750,49,donated
5,11,2750,75,not donated
3,5,1250,38,not donated
3,1,250,3,donated
4,6,1500,43,not donated
2,3,750,24,not donated
12,11,2750,39,not donated
2,2,500,14,not donated
4,6,1500,46,not donated
9,3,750,14,not donated
14,8,2000,26,not donated
4,2,500,13,not donated
4,11,2750,95,not donated
2,7,1750,77,not donated
2,7,1750,77,not donated
4,1,250,4,not donated
4,1,250,4,not donated
4,1,250,4,not donated
4,1,250,4,not donated
4,1,250,4,donated
4,1,250,4,not donated
4,1,250,4,not donated
4,1,250,4,not donated
4,1,250,4,not donated
4,1,250,4,not donated
4,1,250,4,donated
4,1,250,4,not donated
4,7,1750,62,not donated
4,1,250,4,not donated
4,4,1000,34,donated
11,6,1500,28,not donated
13,3,750,14,donated
7,5,1250,35,not donated
9,9,2250,54,not donated
11,2,500,11,not donated
2,5,1250,63,not donated
7,11,2750,89,not donated
8,9,2250,64,not donated
2,2,500,22,not donated
6,3,750,26,not donated
12,15,3750,71,not donated
13,3,750,16,not donated
11,16,4000,89,not donated
4,5,1250,58,not donated
14,7,1750,35,not donated
11,4,1000,27,not donated
7,9,2250,89,donated
11,8,2000,52,donated
7,5,1250,52,not donated
11,6,1500,41,not donated
10,5,1250,38,not donated
14,2,500,14,donated
14,2,500,14,not donated
14,2,500,14,not donated
2,2,500,33,not donated
11,3,750,23,not donated
14,8,2000,46,not donated
9,1,250,9,not donated
16,5,1250,27,not donated
14,4,1000,26,not donated
4,2,500,30,not donated
14,3,750,21,not donated
16,16,4000,77,not donated
4,2,500,31,not donated
14,8,2000,50,not donated
11,3,750,26,not donated
14,7,1750,45,not donated
15,5,1250,33,not donated
16,2,500,16,not donated
16,3,750,21,not donated
11,8,2000,72,not donated
11,1,250,11,not donated
11,1,250,11,not donated
11,1,250,11,not donated
11,1,250,11,donated
11,1,250,11,not donated
2,3,750,75,donated
2,3,750,77,not donated
16,4,1000,28,not donated
16,15,3750,87,not donated
16,14,3500,83,not donated
16,10,2500,62,not donated
16,3,750,23,not donated
14,3,750,26,not donated
23,19,4750,62,not donated
11,7,1750,75,not donated
14,3,750,28,not donated
20,14,3500,69,donated
4,2,500,46,not donated
11,2,500,25,not donated
11,3,750,37,not donated
16,4,1000,33,not donated
21,7,1750,38,not donated
13,7,1750,76,not donated
16,6,1500,50,not donated
14,3,750,33,not donated
14,1,250,14,not donated
14,1,250,14,not donated
14,1,250,14,not donated
14,1,250,14,not donated
14,1,250,14,not donated
14,1,250,14,not donated
17,7,1750,58,donated
14,3,750,35,not donated
14,3,750,35,not donated
16,7,1750,64,not donated
21,2,500,21,not donated
16,3,750,35,not donated
16,1,250,16,not donated
16,1,250,16,not donated
16,1,250,16,not donated
16,1,250,16,not donated
16,1,250,16,not donated
14,2,500,29,not donated
11,4,1000,74,not donated
11,2,500,38,donated
21,6,1500,48,not donated
23,2,500,23,not donated
23,6,1500,45,not donated
14,2,500,35,donated
16,6,1500,81,not donated
16,4,1000,58,not donated
16,5,1250,71,not donated
21,2,500,26,not donated
21,3,750,35,not donated
21,3,750,35,not donated
23,8,2000,69,not donated
21,3,750,38,not donated
23,3,750,35,not donated
21,3,750,40,not donated
23,2,500,28,not donated
21,1,250,21,not donated
21,1,250,21,not donated
25,6,1500,50,not donated
21,1,250,21,not donated
21,1,250,21,not donated
23,3,750,39,not donated
21,2,500,33,not donated
14,3,750,79,not donated
23,1,250,23,donated
23,1,250,23,not donated
23,1,250,23,not donated
23,1,250,23,not donated
23,1,250,23,not donated
23,1,250,23,not donated
23,1,250,23,not donated
23,4,1000,52,not donated
23,1,250,23,not donated
23,7,1750,88,not donated
16,3,750,86,not donated
23,2,500,38,not donated
21,2,500,52,not donated
23,3,750,62,not donated
39,1,250,39,not donated
72,1,250,72,not donated
